epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.681,1.2799,1.56527,1.59957,0.69077,0.71732,0.7262,0.36969,1.6023,1.97498,2.04641,0.000548543,0.000548543,0.000548543
2,277.185,1.28828,1.47054,1.59356,0.54709,0.55874,0.5291,0.23115,1.76699,2.36554,2.21734,0.00108235,0.00108235,0.00108235
3,384.478,1.35237,1.49255,1.63092,0.7012,0.58245,0.6567,0.32044,1.59438,1.78007,2.09864,0.00159414,0.00159414,0.00159414
4,491.241,1.3665,1.44662,1.66473,0.67415,0.47103,0.51657,0.25579,1.77517,2.14103,2.33897,0.00156798,0.00156798,0.00156798
5,600.98,1.35568,1.37309,1.63441,0.76804,0.66648,0.74117,0.3569,1.604,1.61805,2.08622,0.00153497,0.00153497,0.00153497
6,738.887,1.34307,1.3006,1.60928,0.63079,0.64992,0.63806,0.33846,1.46146,1.65847,1.93509,0.00150197,0.00150197,0.00150197
